request_id,user_id,timestamp,priority
REQ000001,USER000213,45620,8
REQ000002,USER004506,10899,5
REQ000003,USER003163,40013,3
REQ000004,USER002383,3479,6
REQ000005,USER009884,12700,6
REQ000006,USER006709,49182,9
REQ000007,USER008003,53140,10
REQ000008,USER009692,14702,10
REQ000009,USER001158,12842,9
REQ000010,USER003251,80770,7
REQ000011,USER002209,67427,2
REQ000012,USER007853,48422,4
REQ000013,USER005733,83252,1
REQ000014,USER004563,44852,8
REQ000015,USER008310,40864,8
REQ000016,USER000014,6309,3
REQ000017,USER001857,45675,4
REQ000018,USER000381,68811,3
REQ000019,USER006883,48196,4
REQ000020,USER009645,76825,10
REQ000021,USER008450,14776,1
REQ000022,USER004040,71229,6
REQ000023,USER004113,40041,8
REQ000024,USER005853,84671,6
REQ000025,USER004136,59865,6
REQ000026,USER003441,66959,10
REQ000027,USER009484,84292,2
REQ000028,USER000001,43698,1
REQ000029,USER002740,19800,2
REQ000030,USER007705,75996,5
REQ000031,USER000260,83165,3
REQ000032,USER001534,1285,8
REQ000033,USER001101,58209,9
REQ000034,USER003072,74800,8
REQ000035,USER007937,14774,4
REQ000036,USER008104,73413,10
REQ000037,USER000772,81056,4
REQ000038,USER006225,21773,8
REQ000039,USER007361,21911,6
REQ000040,USER008526,31054,7
REQ000041,USER003614,62330,5
REQ000042,USER001237,3918,7
REQ000043,USER006097,56395,6
REQ000044,USER008338,70359,1
REQ000045,USER004299,36511,2
REQ000046,USER007153,84493,10
REQ000047,USER000691,72600,9
REQ000048,USER005376,53605,7
REQ000049,USER005159,54343,3
REQ000050,USER006744,46134,4
REQ000051,USER002945,19806,4
REQ000052,USER001574,43118,7
REQ000053,USER002999,7577,6
REQ000054,USER008794,47965,7
REQ000055,USER006404,7456,7
REQ000056,USER009637,69785,4
REQ000057,USER003511,7269,4
REQ000058,USER002637,78779,2
REQ000059,USER000642,40824,1
REQ000060,USER002568,86252,9
REQ000061,USER009774,54775,9
REQ000062,USER001779,66452,9
REQ000063,USER006212,21757,4
REQ000064,USER006646,15692,7
REQ000065,USER004752,14336,9
REQ000066,USER007667,22871,4
REQ000067,USER002326,57591,8
REQ000068,USER003978,67698,9
REQ000069,USER006018,32640,8
REQ000070,USER003305,6327,3
REQ000071,USER005592,74227,3
REQ000072,USER004956,8106,8
REQ000073,USER007389,66716,5
REQ000074,USER001620,49079,10
REQ000075,USER001974,4577,2
REQ000076,USER000798,15518,2
REQ000077,USER000757,82071,7
REQ000078,USER008298,65579,2
REQ000079,USER004720,299,8
REQ000080,USER001804,54198,4
REQ000081,USER006995,24740,8
REQ000082,USER008065,77608,8
REQ000083,USER001963,56885,8
REQ000084,USER007854,49827,5
REQ000085,USER002999,58705,7
REQ000086,USER001521,51895,1
REQ000087,USER002041,37095,5
REQ000088,USER009687,6547,10
REQ000089,USER006217,9277,3
REQ000090,USER007103,50475,9
REQ000091,USER006659,23522,2
REQ000092,USER001731,6765,4
REQ000093,USER008958,50940,6
REQ000094,USER005319,49801,10
REQ000095,USER007336,34908,10
REQ000096,USER004800,67931,8
REQ000097,USER001421,32917,7
REQ000098,USER007885,57683,4
REQ000099,USER004420,32005,10
REQ000100,USER003753,7408,1
REQ000101,USER007514,10024,9
REQ000102,USER001009,76169,5
REQ000103,USER001234,64000,4
REQ000104,USER006665,50433,4
REQ000105,USER008650,51251,1
REQ000106,USER009768,54122,7
REQ000107,USER007843,83685,10
REQ000108,USER005205,67619,6
REQ000109,USER003471,20515,8
REQ000110,USER008756,38832,9
REQ000111,USER009668,42445,3
REQ000112,USER000775,48459,2
REQ000113,USER003636,14265,9
